[ 2016-06-15T16:59:10+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | INFO: Tag[ route_check ] --START--
[ 2016-06-15T16:59:10+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 170 行.
[ 2016-06-15T16:59:10+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 175 行.
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SHOW COLUMNS FROM `nnld_fck` [ RunTime:0.021596s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id`,`password`,`user_type` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `user_id` = 'ldrj1688' ) LIMIT 1   [ RunTime:0.000475s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SHOW COLUMNS FROM `nnld_fee` [ RunTime:0.015676s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `i3`,`str27` FROM `nnld_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000412s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 119 行.
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `id`,`user_id` FROM `nnld_fck` WHERE ( `id` = '1' ) AND ( `is_boss` > 0 ) LIMIT 1   [ RunTime:0.000400s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | NOTIC: [8] Use of undefined constant __ADMIN_GATE__ - assumed '__ADMIN_GATE__' CommonAction.class.php 第 450 行.
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SHOW COLUMNS FROM `nnld_history` [ RunTime:0.009560s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | NOTIC: [8] Undefined index: UserID YouZiAction.class.php 第 4788 行.
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT COUNT(*) AS tp_count FROM `nnld_history` WHERE ( 1=1 and pdt>=946656000 and pdt<=1466006399 ) AND ( `action_type` = 9 ) LIMIT 1   [ RunTime:0.006170s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT * FROM `nnld_history` WHERE ( 1=1 and pdt>=946656000 and pdt<=1466006399 ) AND ( `action_type` = 9 ) ORDER BY pdt desc LIMIT 0,5000   [ RunTime:0.023013s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `s18` FROM `nnld_fee` LIMIT 1   [ RunTime:0.000293s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | INFO: Tag[ view_template ] --START--
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | INFO: Run LocationTemplate Behavior [ RunTime:0.000812s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | INFO: Tag[ view_template ] --END-- [ RunTime:0.000871s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | INFO: Tag[ view_parse ] --START--
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000189s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000086s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000079s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000072s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10887 LIMIT 1   [ RunTime:0.000076s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10888 LIMIT 1   [ RunTime:0.000074s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10910 LIMIT 1   [ RunTime:0.000158s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10866 LIMIT 1   [ RunTime:0.000150s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10867 LIMIT 1   [ RunTime:0.000130s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10867 LIMIT 1   [ RunTime:0.000146s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000150s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000203s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000223s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000226s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =1 LIMIT 1   [ RunTime:0.000482s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10887 LIMIT 1   [ RunTime:0.000308s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10888 LIMIT 1   [ RunTime:0.000311s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10910 LIMIT 1   [ RunTime:0.000230s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10866 LIMIT 1   [ RunTime:0.000152s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10948 LIMIT 1   [ RunTime:0.000182s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10948 LIMIT 1   [ RunTime:0.000294s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10948 LIMIT 1   [ RunTime:0.000213s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000132s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000131s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000151s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000102s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000176s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000114s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000109s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000082s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000118s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000110s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000111s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000107s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11593 LIMIT 1   [ RunTime:0.000099s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11593 LIMIT 1   [ RunTime:0.000096s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11593 LIMIT 1   [ RunTime:0.000088s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11593 LIMIT 1   [ RunTime:0.000094s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000086s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000072s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000098s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10949 LIMIT 1   [ RunTime:0.000090s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000072s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000129s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000087s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000086s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10950 LIMIT 1   [ RunTime:0.000096s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10967 LIMIT 1   [ RunTime:0.000074s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10967 LIMIT 1   [ RunTime:0.000086s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10967 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10967 LIMIT 1   [ RunTime:0.000088s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11544 LIMIT 1   [ RunTime:0.000094s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11544 LIMIT 1   [ RunTime:0.000073s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11544 LIMIT 1   [ RunTime:0.000088s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11544 LIMIT 1   [ RunTime:0.000096s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000089s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000092s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000069s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000090s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =11270 LIMIT 1   [ RunTime:0.000092s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000087s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000067s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000089s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000091s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000087s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000089s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10944 LIMIT 1   [ RunTime:0.000072s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000144s ]
[ 2016-06-15T16:59:11+08:00 ] /t050/index.php/YouZi/adminmoneyflows/tp/9/S_Date/2000-01-01/E_Date/2016-06-15/UserID// | SQL: SELECT `user_id` FROM `nnld_fck` WHERE id =10965 LIMIT 1   [ RunTime:0.000237s ]
